channel,title,duration,url,playlist_url,error,downloaded,ext,match,path
FRANCE 24,"États-Unis - Turquie : faux ennemis, vrais amis ? (partie 2)",1546,https://www.youtube.com/watch?v=COfLhb-XflM,https://www.youtube.com/playlist?list=PLCnUnV3yCIYsLYcNDT9eqTGHQxJao9YQj,0,0,m4a,FRANCE24tatsUnisTurquiefauxennemisvraisamispartie2,COfLhb-XflM.wav
FRANCE 24,"États-Unis - Turquie : faux ennemis, vrais amis ?  (partie 1)",917,https://www.youtube.com/watch?v=e_C8eVc6D-Q,https://www.youtube.com/playlist?list=PLCnUnV3yCIYsLYcNDT9eqTGHQxJao9YQj,0,0,m4a,FRANCE24tatsUnisTurquiefauxennemisvraisamispartie1,e_C8eVc6D-Q.wav
FRANCE 24,Quelle est la stratégie du président turc vis-à-vis des Kurdes ? (partie 2),1558,https://www.youtube.com/watch?v=wyZaa1u7vOw,https://www.youtube.com/playlist?list=PLCnUnV3yCIYsLYcNDT9eqTGHQxJao9YQj,0,0,m4a,FRANCE24QuelleestlastratgieduprsidentturcvisvisdesKurdespartie2,wyZaa1u7vOw.wav
FRANCE 24,Quelle est la stratégie du président turc vis-à-vis des Kurdes ? (partie 1),995,https://www.youtube.com/watch?v=ZRr0fnkWNJ8,https://www.youtube.com/playlist?list=PLCnUnV3yCIYsLYcNDT9eqTGHQxJao9YQj,0,0,m4a,FRANCE24QuelleestlastratgieduprsidentturcvisvisdesKurdespartie1,ZRr0fnkWNJ8.wav
FRANCE 24,Destruction des mausolées de Tombouctou : un procès historique devant la CPI,1529,https://www.youtube.com/watch?v=lyagH2Y-EG4,https://www.youtube.com/playlist?list=PLCnUnV3yCIYsLYcNDT9eqTGHQxJao9YQj,0,0,m4a,FRANCE24DestructiondesmausolesdeTombouctouunprocshistoriquedevantlaCPI,lyagH2Y-EG4.wav
FRANCE 24,Destruction des mausolées de Tombouctou : un procès historique devant la CPI (partie 1),983,https://www.youtube.com/watch?v=Hr-laO9JE6o,https://www.youtube.com/playlist?list=PLCnUnV3yCIYsLYcNDT9eqTGHQxJao9YQj,0,0,m4a,FRANCE24DestructiondesmausolesdeTombouctouunprocshistoriquedevantlaCPIpartie1,Hr-laO9JE6o.wav
FRANCE 24,La RDC une nouvelle fois endeuillée par un massacre à Beni,985,https://www.youtube.com/watch?v=UAGfCF8KE5g,https://www.youtube.com/playlist?list=PLCnUnV3yCIYsLYcNDT9eqTGHQxJao9YQj,0,0,m4a,FRANCE24LaRDCunenouvellefoisendeuilleparunmassacreBeni,UAGfCF8KE5g.wav
FRANCE 24,Course à la Maison Blanche : jusqu'où ira Donald Trump ?,928,https://www.youtube.com/watch?v=-3NvSmtA6J8,https://www.youtube.com/playlist?list=PLCnUnV3yCIYsLYcNDT9eqTGHQxJao9YQj,0,0,m4a,FRANCE24CourselaMaisonBlanchejusquoiraDonaldTrump,-3NvSmtA6J8.wav
FRANCE 24,"François Hollande au Vatican, une visite ""privée"" à portée politique",991,https://www.youtube.com/watch?v=PmSszu-LZe4,https://www.youtube.com/playlist?list=PLCnUnV3yCIYsLYcNDT9eqTGHQxJao9YQj,0,0,m4a,FRANCE24FranoisHollandeauVaticanunevisitepriveportepolitique,PmSszu-LZe4.wav
FRANCE 24,Faut-il interdire le burkini en France ?,1080,https://www.youtube.com/watch?v=PBWCezWkj5I,https://www.youtube.com/playlist?list=PLCnUnV3yCIYsLYcNDT9eqTGHQxJao9YQj,0,0,m4a,FRANCE24FautilinterdireleburkinienFrance,PBWCezWkj5I.wav
FRANCE 24,"RDC : Nord-Kivu, une guerre oubliée ?",938,https://www.youtube.com/watch?v=ffrRXs_bvkE,https://www.youtube.com/playlist?list=PLCnUnV3yCIYsLYcNDT9eqTGHQxJao9YQj,0,0,m4a,FRANCE24RDCNordKivuuneguerreoublie,ffrRXs_bvkE.wav
